,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
3942,3,141.5,1600.180725,158.25,-2,5.464,-0.33,2.44,5.11,small-vehicle,No,4.5
3943,3,141.6,1600.727125,158.26,-2,5.431,-0.33,2.44,5.11,small-vehicle,No,4.6
3944,3,141.7,1601.270225,158.27,-2,5.398,-0.3825,2.44,5.11,small-vehicle,No,4.7
3945,3,141.8,1601.810025,158.28,-2,5.35975,-0.4375,2.44,5.12,small-vehicle,No,4.8
3946,3,141.9,1602.346,158.29,-2,5.316,-0.495,2.43,5.12,small-vehicle,No,4.9
3947,3,142.0,1602.8776,158.3,-2,5.2665,-0.4975,2.43,5.12,small-vehicle,No,5.0
6672,52,137.0,1625.497225,158.9,-2,4.944,0.3175,2.3,4.7,small-vehicle,No,0.0
6673,52,137.1,1625.991625,158.91,-2,4.97575,0.2125,2.3,4.7,small-vehicle,No,0.1
6674,52,137.2,1626.4892,158.91,-2,4.997,0.105,2.3,4.7,small-vehicle,No,0.2
6675,52,137.3,1626.9889,158.91,-2,5.0075,0.05,2.31,4.7,small-vehicle,No,0.3
6676,52,137.4,1627.48965,158.91,-2,5.0125,-0.055,2.31,4.71,small-vehicle,No,0.4
6677,52,137.5,1627.9909,158.92,-2,5.007,-0.11,2.31,4.71,small-vehicle,No,0.5
6678,52,137.6,1628.4916,158.92,-2,4.996,-0.1075,2.31,4.72,small-vehicle,No,0.6
6679,52,137.7,1628.9912,158.92,-2,4.98525,-0.0525,2.32,4.73,small-vehicle,No,0.7
6680,52,137.8,1629.489725,158.92,-2,4.98,0.0525,2.32,4.73,small-vehicle,No,0.8
6681,52,137.9,1629.987725,158.93,-2,4.98525,0.1575,2.33,4.74,small-vehicle,No,0.9
9172,57,137.0,1607.66085,158.34,-2,6.01675,-0.2975,2.6,5.33,small-vehicle,No,0.0
9173,57,137.1,1608.262525,158.35,-2,5.987,-0.4025,2.6,5.33,small-vehicle,No,0.1
9174,57,137.2,1608.861225,158.36,-2,5.94675,-0.56,2.6,5.33,small-vehicle,No,0.2
9175,57,137.3,1609.4559,158.38,-2,5.89075,-0.6675,2.6,5.32,small-vehicle,No,0.3
9176,57,137.4,1610.044975,158.39,-2,5.824,-0.8225,2.59,5.31,small-vehicle,No,0.4
9177,57,137.5,1610.627375,158.41,-2,5.74175,-0.875,2.59,5.3,small-vehicle,No,0.5
9178,57,137.6,1611.20155,158.42,-2,5.65425,-0.8725,2.59,5.29,small-vehicle,No,0.6
9179,57,137.7,1611.766975,158.43,-2,5.567,-0.865,2.59,5.28,small-vehicle,No,0.7
