Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
732,0,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1914.328175 1915.12135  1915.91005  1916.694775 1917.47605  1918.253875
 1919.028275 1919.79975  1920.5683   1921.333925 1922.0971   1922.85835
 1923.6172   1924.373625 1925.128625 1925.8822   1926.63435  1927.3851
 1928.13495  1928.8844   1929.63345  1930.382625 1931.132425 1931.88335
 1932.635425 1933.389175 1934.1456   1934.904675 1935.666425 1936.43185
 1937.20095  1937.974225 1938.752175 1939.5348   1940.3226   1941.116075
 1941.915725 1942.72155  1943.53405  1944.35375  1945.180625 1946.01515
 1946.85785  1947.708725 1948.56775  1949.4349   1950.31015  1951.194
 1952.08645  1952.986975 1953.895575]","[161.18 161.14 161.1  161.06 161.02 160.98 160.94 160.9  160.86 160.82
 160.78 160.74 160.7  160.66 160.62 160.57 160.53 160.49 160.44 160.4
 160.35 160.31 160.26 160.21 160.16 160.12 160.06 160.01 159.96 159.91
 159.85 159.8  159.74 159.69 159.63 159.57 159.51 159.45 159.39 159.33
 159.26 159.2  159.13 159.06 158.99 158.92 158.85 158.78 158.71 158.63
 158.55]",0.0,6
732,3,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1936.259675 1937.14465  1938.03375  1938.926975 1939.824825 1940.727275
 1941.634325 1942.5465   1943.463775 1944.386125 1945.31355  1946.24605
 1947.1831   1948.124675 1949.0713   1950.02245  1950.9781   1951.93825
 1952.9024   1953.87055  1954.8432   1955.820325 1956.800925 1957.785025
 1958.7731   1959.76515  1960.760675 1961.75915  1962.76055  1963.76435
 1964.77005  1965.777125 1966.78455  1967.791825 1968.79895  1969.805925
 1970.812225 1971.81735  1972.821325 1973.82365  1974.82435  1975.823425
 1976.82035  1977.81515  1978.80735  1979.79695  1980.78445  1981.76935
 1982.751175 1983.730425 1984.7071  ]","[159.6  159.54 159.48 159.42 159.36 159.29 159.23 159.17 159.1  159.04
 158.98 158.91 158.84 158.77 158.7  158.63 158.56 158.49 158.42 158.34
 158.27 158.19 158.11 158.04 157.96 157.88 157.8  157.72 157.64 157.55
 157.47 157.39 157.31 157.22 157.14 157.05 156.97 156.88 156.79 156.71
 156.62 156.53 156.43 156.34 156.25 156.15 156.06 155.96 155.87 155.77
 155.68]",0.0,6
732,52,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2013.94205  2014.806575 2015.671025 2016.5354   2017.3992   2018.261925
 2019.124075 2019.98565  2020.846175 2021.705125 2022.562475 2023.41825
 2024.27195  2025.12355  2025.97305  2026.819975 2027.664325 2028.506075
 2029.34475  2030.18035  2031.013375 2031.84385  2032.6713   2033.496225
 2034.318625 2035.1385   2035.95585  2036.7707   2037.583025 2038.392325
 2039.1986   2040.001825 2040.802025 2041.5992   2042.39335  2043.184475
 2043.972575 2044.757675 2045.539775 2046.319375 2047.0965   2047.87115
 2048.643825 2049.41455  2050.183325 2050.95065  2051.716525 2052.48095
 2053.244425 2054.00695  2054.76855 ]","[152.28 152.2  152.13 152.05 151.97 151.89 151.82 151.74 151.66 151.59
 151.51 151.43 151.36 151.28 151.21 151.13 151.06 150.98 150.91 150.84
 150.76 150.69 150.62 150.55 150.48 150.41 150.33 150.26 150.19 150.12
 150.05 149.98 149.91 149.84 149.77 149.7  149.63 149.56 149.49 149.43
 149.36 149.29 149.22 149.15 149.08 149.01 148.94 148.87 148.8  148.73
 148.66]",0.0,6
732,57,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1994.8189   1995.70695  1996.5945   1997.481575 1998.368175 1999.2543
 2000.13995  2001.0251   2001.90975  2002.7939   2003.67705  2004.559175
 2005.43975  2006.3188   2007.196325 2008.0718   2008.945725 2009.8181
 2010.68845  2011.556775 2012.423575 2013.288875 2014.152675 2015.0155
 2015.87735  2016.738725 2017.59965  2018.460125 2019.32015  2020.1797
 2021.03875  2021.897325 2022.755425 2023.612525 2024.468625 2025.323725
 2026.178325 2027.032425 2027.8855   2028.73755  2029.5886   2030.43865
 2031.2877   2032.135775 2032.983375 2033.830475 2034.6771   2035.52325
 2036.3689   2037.214575 2038.059775]","[154.61 154.53 154.44 154.36 154.27 154.19 154.11 154.02 153.94 153.86
 153.78 153.7  153.61 153.53 153.45 153.37 153.29 153.21 153.13 153.04
 152.96 152.88 152.8  152.72 152.64 152.56 152.48 152.4  152.31 152.23
 152.15 152.07 151.99 151.91 151.83 151.74 151.66 151.58 151.5  151.41
 151.33 151.25 151.16 151.08 151.   150.91 150.83 150.74 150.66 150.58
 150.49]",0.0,6
732,61,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1966.0726   1966.9925   1967.9124   1968.831775 1969.750625 1970.669475
 1971.587825 1972.50515  1973.42195  1974.338225 1975.253475 1976.1672
 1977.079375 1977.9905   1978.900075 1979.8081   1980.7151   1981.6206
 1982.5251   1983.429125 1984.332675 1985.23625  1986.1399   1987.043625
 1987.9479   1988.85325  1989.759175 1990.66565  1991.572675 1992.480225
 1993.388275 1994.29685  1995.20595  1996.11505  1997.02415  1997.93325
 1998.842325 1999.751875 2000.66195  2001.57205  2002.48265  2003.393775
 2004.305425 2005.217575 2006.13025  2007.043975 2007.958725 2008.8745
 2009.7913   2010.709125 2011.627975]","[156.97 156.89 156.81 156.72 156.64 156.56 156.48 156.4  156.31 156.23
 156.15 156.07 155.98 155.9  155.82 155.74 155.65 155.57 155.48 155.4
 155.31 155.23 155.14 155.06 154.97 154.89 154.8  154.71 154.63 154.54
 154.45 154.37 154.28 154.2  154.11 154.02 153.93 153.85 153.76 153.67
 153.58 153.5  153.41 153.32 153.23 153.14 153.06 152.97 152.88 152.79
 152.7 ]",0.0,6
732,66,[0.  0.1 0.2 0.3],[2054.011   2054.4797  2054.9366  2055.38785],[148.96 148.93 148.91 148.88],0.0,6
732,69,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2044.990525 2045.7815   2046.57195  2047.3619   2048.15185  2048.9418
 2049.731775 2050.522275 2051.3133   2052.10435  2052.8959   2053.687975
 2054.480075 2055.272675 2056.065775 2056.859375 2057.6535   2058.44815
 2059.243825 2060.04055  2060.83885  2061.639225 2062.441675 2063.24675
 2064.05495  2064.86675  2065.682175 2066.50125  2067.32495  2068.15325
 2068.98565  2069.82265  2070.66475  2071.51145  2072.36275  2073.219125
 2074.080575 2074.947625 2075.82025  2076.69845  2077.58275  2078.473125
 2079.369575 2080.2716   2081.179175 2082.092775 2083.011875 2083.935975
 2084.864525 2085.796475 2086.7313  ]","[149.51 149.43 149.36 149.28 149.21 149.13 149.06 148.98 148.91 148.83
 148.75 148.68 148.6  148.52 148.44 148.36 148.28 148.21 148.13 148.05
 147.97 147.89 147.81 147.72 147.64 147.56 147.48 147.39 147.31 147.23
 147.14 147.05 146.97 146.88 146.79 146.71 146.62 146.53 146.44 146.35
 146.25 146.16 146.07 145.98 145.89 145.79 145.7  145.61 145.51 145.42
 145.33]",0.0,6
732,145,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1896.514325 1897.6972   1898.87545  1900.048575 1901.21655  1902.37885
 1903.534975 1904.68495  1905.828275 1906.964425 1908.0929   1909.213225
 1910.3259   1911.430425 1912.526325 1913.6141   1914.69325  1915.7638
 1916.82575  1917.8791   1918.92385  1919.959525 1920.986125 1922.00415
 1923.013625 1924.01355  1925.0039   1925.984675 1926.955875 1927.916975
 1928.867475 1929.8079   1930.73775  1931.657025 1932.56625  1933.464925
 1934.353575 1935.232725 1936.1024   1936.963125 1937.8149   1938.658225
 1939.493625 1940.321625 1941.142725 1941.95695  1942.7648   1943.566775
 1944.3629   1945.153675 1945.9396  ]","[161.63 161.59 161.55 161.51 161.47 161.43 161.38 161.34 161.3  161.25
 161.21 161.17 161.12 161.08 161.03 160.98 160.94 160.89 160.84 160.79
 160.74 160.7  160.65 160.59 160.54 160.49 160.44 160.39 160.34 160.29
 160.24 160.18 160.13 160.08 160.03 159.98 159.93 159.88 159.82 159.77
 159.72 159.67 159.62 159.57 159.52 159.46 159.41 159.36 159.3  159.25
 159.2 ]",0.0,6
732,537,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1830.686475 1831.8563   1833.027575 1834.200275 1835.3744   1836.549975
 1837.726475 1838.9039   1840.081775 1841.2601   1842.43935  1843.619025
 1844.79915  1845.979725 1847.16075  1848.342225 1849.523675 1850.7056
 1851.888    1853.070875 1854.254225 1855.4381   1856.623    1857.8089
 1858.996325 1860.185275 1861.37525  1862.56625  1863.75825  1864.95125
 1866.14525  1867.34025  1868.536225 1869.732675 1870.9296   1872.126975
 1873.324325 1874.52165  1875.718925 1876.91615  1878.11335  1879.310025
 1880.506125 1881.70165  1882.8956   1884.087975 1885.278775 1886.46745
 1887.6535   1888.83645  1890.016275]","[162.76 162.77 162.78 162.8  162.81 162.82 162.83 162.84 162.84 162.85
 162.85 162.86 162.86 162.86 162.86 162.86 162.85 162.85 162.85 162.84
 162.83 162.83 162.82 162.81 162.8  162.78 162.77 162.76 162.74 162.72
 162.71 162.69 162.66 162.64 162.62 162.59 162.57 162.54 162.51 162.48
 162.44 162.41 162.38 162.34 162.3  162.26 162.22 162.18 162.14 162.1
 162.06]",0.0,6
732,540,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1853.515375 1854.731925 1855.950975 1857.172025 1858.3951   1859.6207
 1860.8488   1862.0789   1863.310975 1864.5445   1865.7795   1867.015975
 1868.252875 1869.490175 1870.7279   1871.96555  1873.2031   1874.44005
 1875.6759   1876.91065  1878.144825 1879.377925 1880.609425 1881.83985
 1883.0692   1884.296975 1885.522675 1886.746275 1887.967775 1889.186675
 1890.402475 1891.61465  1892.8227   1894.026625 1895.2259   1896.42
 1897.608425 1898.790175 1899.965225 1901.1336   1902.2948   1903.448325
 1904.593675 1905.73085  1906.859875 1907.980225 1909.0914   1910.193425
 1911.2858   1912.368525 1913.441625]","[162.6  162.59 162.58 162.57 162.56 162.55 162.53 162.52 162.5  162.49
 162.47 162.45 162.43 162.41 162.39 162.37 162.34 162.32 162.29 162.27
 162.24 162.21 162.18 162.14 162.11 162.07 162.04 162.   161.96 161.93
 161.89 161.85 161.81 161.76 161.72 161.68 161.64 161.59 161.55 161.5
 161.46 161.41 161.36 161.32 161.27 161.22 161.17 161.12 161.07 161.02
 160.97]",0.0,6
