Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
1961,0,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1993.98415  1995.01235  1996.040525 1997.068675 1998.0968   1999.1249
 2000.152475 2001.179525 2002.20605  2003.232025 2004.25745  2005.281825
 2006.30515  2007.326925 2008.347125 2009.36575  2010.3818   2011.39525
 2012.4061   2013.413325 2014.416925 2015.416925 2016.4128   2017.404025
 2018.390625 2019.3726   2020.34945  2021.3207   2022.286325 2023.246325
 2024.200725 2025.149525 2026.092225 2027.028825 2027.958825 2028.88225
 2029.7991   2030.70885  2031.612025 2032.50865  2033.398225 2034.280725
 2035.15665  2036.02605  2036.888425 2037.743775 2038.592625 2039.435475
 2040.272325 2041.1032   2041.928625]","[155.02 154.92 154.82 154.73 154.63 154.53 154.43 154.34 154.24 154.14
 154.04 153.94 153.85 153.75 153.65 153.55 153.45 153.36 153.26 153.16
 153.06 152.97 152.87 152.77 152.67 152.58 152.48 152.39 152.29 152.2
 152.1  152.01 151.91 151.82 151.73 151.64 151.54 151.45 151.36 151.28
 151.19 151.1  151.02 150.93 150.84 150.76 150.68 150.59 150.51 150.42
 150.34]",0.0,6
1961,3,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2021.642775 2022.532075 2023.419875 2024.306175 2025.19095  2026.0742
 2026.95545  2027.834675 2028.712375 2029.58805  2030.4612   2031.332325
 2032.2009   2033.066925 2033.9304   2034.790825 2035.6482   2036.502525
 2037.3538   2038.20205  2039.047275 2039.88895  2040.727075 2041.56165
 2042.392175 2043.21915  2044.042575 2044.86145  2045.67575  2046.486
 2047.292225 2048.0944   2048.892025 2049.685125 2050.4742   2051.25925
 2052.040325 2052.817925 2053.59255  2054.3637   2055.131375 2055.8961
 2056.65785  2057.416625 2058.172425 2058.92575  2059.676625 2060.42455
 2061.17     2061.912975 2062.6535  ]","[152.12 152.04 151.96 151.88 151.8  151.72 151.64 151.56 151.48 151.4
 151.32 151.24 151.16 151.08 151.   150.93 150.85 150.77 150.69 150.61
 150.53 150.45 150.37 150.29 150.21 150.13 150.05 149.97 149.89 149.81
 149.73 149.65 149.57 149.49 149.41 149.34 149.26 149.18 149.1  149.02
 148.95 148.87 148.79 148.72 148.64 148.56 148.49 148.41 148.34 148.26
 148.18]",0.0,6
1961,52,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2085.4996   2086.315675 2087.136325 2087.96105  2088.790325 2089.62415
 2090.462025 2091.304425 2092.15135  2093.0023   2093.85725  2094.716225
 2095.579225 2096.446225 2097.317225 2098.192225 2099.0712   2099.954175
 2100.841175 2101.732175 2102.627175 2103.526175 2104.429175 2105.336175
 2106.24715  2107.1616   2108.079025 2108.9994   2109.922725 2110.849
 2111.777725 2112.708875 2113.64245  2114.577975 2115.51545  2116.454875
 2117.39625  2118.339575 2119.28485  2120.23155  2121.179675 2122.12925
 2123.079775 2124.03125  2124.98365  2125.936475 2126.88975  2127.84345
 2128.79705  2129.750575 2130.703525]","[145.87 145.81 145.74 145.68 145.61 145.55 145.48 145.41 145.35 145.28
 145.22 145.15 145.09 145.02 144.95 144.89 144.82 144.75 144.68 144.61
 144.54 144.47 144.4  144.33 144.25 144.18 144.11 144.03 143.95 143.88
 143.8  143.73 143.65 143.57 143.49 143.41 143.33 143.25 143.17 143.09
 143.01 142.93 142.84 142.76 142.67 142.59 142.5  142.42 142.33 142.25
 142.16]",0.0,6
1961,57,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2070.010875 2070.7474   2071.4825   2072.216175 2072.948425 2073.679775
 2074.410725 2075.141275 2075.871425 2076.601675 2077.332525 2078.063975
 2078.79605  2079.529225 2080.263475 2080.998825 2081.735275 2082.473325
 2083.212975 2083.954725 2084.699075 2085.445525 2086.194575 2086.946225
 2087.70045  2088.45775  2089.218125 2089.981575 2090.7481   2091.517675
 2092.290325 2093.06605  2093.845325 2094.62815  2095.414525 2096.20445
 2096.997925 2097.794925 2098.59545  2099.3995   2100.20655  2101.0166
 2101.829625 2102.645125 2103.4631   2104.28355  2105.106475 2105.931875
 2106.75975  2107.5901   2108.422425]","[147.25 147.18 147.11 147.03 146.96 146.89 146.82 146.75 146.68 146.61
 146.54 146.48 146.41 146.34 146.27 146.2  146.14 146.07 146.   145.94
 145.87 145.8  145.74 145.67 145.6  145.54 145.47 145.4  145.33 145.27
 145.2  145.13 145.06 145.   144.93 144.86 144.79 144.72 144.65 144.58
 144.52 144.45 144.38 144.31 144.24 144.17 144.1  144.03 143.96 143.89
 143.82]",0.0,6
1961,61,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2047.863975 2048.737    2049.608    2050.4765   2051.342475 2052.206425
 2053.068375 2053.9278   2054.7847   2055.639075 2056.4904   2057.338675
 2058.1834   2059.024575 2059.8622   2060.695775 2061.5258   2062.352275
 2063.175225 2063.99465  2064.81055  2065.62345  2066.43335  2067.23975
 2068.04265  2068.84255  2069.63945  2070.433375 2071.224325 2072.012275
 2072.797225 2073.5792   2074.3587   2075.135725 2075.9103   2076.682925
 2077.4536   2078.222825 2078.9906   2079.756925 2080.5218   2081.285225
 2082.0477   2082.808725 2083.568825 2084.3285   2085.087225 2085.845525
 2086.6039   2087.362325 2088.120825]","[149.24 149.16 149.07 148.99 148.91 148.82 148.74 148.65 148.57 148.48
 148.4  148.32 148.23 148.15 148.07 147.98 147.9  147.82 147.74 147.65
 147.57 147.49 147.41 147.32 147.24 147.16 147.08 147.   146.92 146.84
 146.76 146.68 146.6  146.52 146.44 146.37 146.29 146.21 146.14 146.06
 145.99 145.91 145.84 145.77 145.7  145.62 145.55 145.48 145.41 145.34
 145.27]",0.0,6
1961,145,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1976.8208   1977.647525 1978.478275 1979.31305  1980.15185  1980.99465
 1981.84095  1982.69075  1983.54405  1984.40085  1985.261125 1986.124375
 1986.9906   1987.859775 1988.7314   1989.604975 1990.481    1991.359475
 1992.2399   1993.122275 1994.0066   1994.892875 1995.7811   1996.670775
 1997.5614   1998.45295  1999.345425 2000.23885  2001.1332   2002.028475
 2002.9242   2003.820375 2004.717    2005.614075 2006.5116   2007.4096
 2008.308075 2009.207    2010.1064   2011.005775 2011.9051   2012.8044
 2013.703675 2014.6029   2015.502075 2016.4007   2017.298775 2018.1963
 2019.0933   2019.989775 2020.8852  ]","[156.63 156.55 156.46 156.38 156.3  156.21 156.12 156.03 155.94 155.85
 155.76 155.67 155.58 155.48 155.39 155.3  155.21 155.11 155.02 154.93
 154.84 154.75 154.65 154.56 154.47 154.38 154.29 154.2  154.11 154.02
 153.93 153.84 153.75 153.66 153.57 153.48 153.39 153.3  153.22 153.13
 153.05 152.96 152.88 152.8  152.71 152.63 152.56 152.48 152.4  152.32
 152.25]",0.0,6
1961,537,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1931.264    1932.124525 1932.978625 1933.82735  1934.6707   1935.508675
 1936.3423   1937.171575 1937.996475 1938.8175   1939.63465  1940.448425
 1941.258825 1942.06585  1942.87     1943.67125  1944.470125 1945.267125
 1946.06225  1946.8555   1947.647375 1948.4384   1949.22855  1950.018325
 1950.808225 1951.59825  1952.3884   1953.17865  1953.969025 1954.760025
 1955.552125 1956.345325 1957.139625 1957.935025 1958.732025 1959.531125
 1960.332325 1961.135625 1961.941025 1962.7485   1963.55805  1964.369675
 1965.18335  1965.999075 1966.81735  1967.638175 1968.461575 1969.28805
 1970.117575 1970.950175 1971.78635 ]","[159.93 159.87 159.82 159.76 159.7  159.64 159.59 159.53 159.47 159.41
 159.36 159.3  159.24 159.18 159.13 159.07 159.01 158.95 158.89 158.83
 158.77 158.71 158.65 158.59 158.53 158.47 158.41 158.34 158.28 158.22
 158.15 158.09 158.02 157.95 157.89 157.82 157.75 157.68 157.61 157.54
 157.47 157.4  157.33 157.25 157.18 157.1  157.03 156.95 156.88 156.8
 156.72]",0.0,6
1961,540,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1949.29995  1950.092825 1950.88485  1951.676    1952.466775 1953.2577
 1954.048775 1954.840475 1955.6328   1956.425775 1957.219875 1958.015075
 1958.8119   1959.61035  1960.4104   1961.212025 1962.015225 1962.820525
 1963.6279   1964.43735  1965.2489   1966.063025 1966.879725 1967.699
 1968.52135  1969.346775 1970.175275 1971.00685  1971.8415   1972.679725
 1973.5215   1974.36685  1975.216275 1976.06975  1976.926775 1977.78735
 1978.651975 1979.52065  1980.39335  1981.270075 1982.150825 1983.0356
 1983.9244   1984.817225 1985.714075 1986.614925 1987.5198   1988.4287
 1989.3416   1990.258    1991.1779  ]","[158.63 158.56 158.5  158.44 158.38 158.31 158.25 158.19 158.12 158.06
 157.99 157.93 157.87 157.8  157.74 157.67 157.6  157.54 157.47 157.4
 157.33 157.27 157.2  157.13 157.05 156.98 156.91 156.84 156.76 156.69
 156.62 156.54 156.46 156.39 156.31 156.23 156.15 156.07 155.99 155.91
 155.83 155.75 155.67 155.59 155.5  155.42 155.34 155.25 155.17 155.08
 155.  ]",0.0,6
1961,732,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1901.689775 1902.773625 1903.853375 1904.9285   1905.9985   1907.063375
 1908.123125 1909.17775  1910.22675  1911.26965  1912.30645  1913.337125
 1914.361175 1915.378625 1916.389475 1917.393225 1918.3899   1919.3795
 1920.3615   1921.335925 1922.303275 1923.26305  1924.21475  1925.158875
 1926.09545  1927.023975 1927.94445  1928.857375 1929.762775 1930.660675
 1931.551575 1932.435475 1933.3124   1934.182875 1935.0474   1935.905975
 1936.758625 1937.60585  1938.44815  1939.285025 1940.116475 1940.943
 1941.764575 1942.5812   1943.393375 1944.2011   1945.003875 1945.802225
 1946.59665  1947.386625 1948.17215 ]","[161.32 161.27 161.22 161.16 161.11 161.06 161.01 160.96 160.9  160.85
 160.8  160.74 160.69 160.64 160.58 160.53 160.47 160.42 160.37 160.31
 160.26 160.2  160.15 160.09 160.03 159.98 159.92 159.86 159.81 159.75
 159.69 159.63 159.57 159.51 159.45 159.39 159.33 159.28 159.22 159.16
 159.1  159.04 158.98 158.92 158.86 158.8  158.74 158.68 158.62 158.55
 158.49]",0.0,6
1961,788,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1854.548525 1855.6915   1856.835    1857.979025 1859.123075 1860.267625
 1861.412675 1862.557725 1863.702775 1864.847825 1865.99235  1867.13635
 1868.280325 1869.423775 1870.566725 1871.709675 1872.852625 1873.995575
 1875.13905  1876.28305  1877.427075 1878.571625 1879.716675 1880.861725
 1882.006775 1883.1513   1884.295275 1885.4387   1886.581075 1887.721875
 1888.8606   1889.99725  1891.1318   1892.26375  1893.393125 1894.519925
 1895.643625 1896.76425  1897.8818   1898.99625  1900.107625 1901.21545
 1902.3197   1903.420375 1904.5175   1905.611075 1906.7006   1907.786075
 1908.8675   1909.944875 1911.018175]","[162.2  162.19 162.17 162.15 162.14 162.12 162.11 162.09 162.08 162.06
 162.04 162.03 162.01 161.99 161.97 161.96 161.94 161.92 161.9  161.88
 161.86 161.84 161.81 161.79 161.76 161.74 161.71 161.68 161.66 161.63
 161.6  161.57 161.54 161.51 161.48 161.44 161.41 161.37 161.34 161.3
 161.26 161.22 161.18 161.14 161.1  161.05 161.01 160.96 160.91 160.86
 160.81]",0.0,6
