Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
899,0,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1977.5211   1978.549225 1979.5782   1980.607525 1981.6372   1982.66725
 1983.697175 1984.726975 1985.756675 1986.785775 1987.8143   1988.84275
 1989.871125 1990.89945  1991.927725 1992.95595  1993.98415  1995.01235
 1996.040525 1997.068675 1998.0968   1999.1249   2000.152475 2001.179525
 2002.20605  2003.232025 2004.25745  2005.281825 2006.30515  2007.326925
 2008.347125 2009.36575  2010.3818   2011.39525  2012.4061   2013.413325
 2014.416925 2015.416925 2016.4128   2017.404025 2018.390625 2019.3726
 2020.34945  2021.3207   2022.286325 2023.246325 2024.200725 2025.149525
 2026.092225 2027.028825 2027.958825]","[156.51 156.42 156.33 156.24 156.15 156.05 155.96 155.87 155.78 155.68
 155.59 155.49 155.4  155.3  155.21 155.11 155.02 154.92 154.82 154.73
 154.63 154.53 154.43 154.34 154.24 154.14 154.04 153.94 153.85 153.75
 153.65 153.55 153.45 153.36 153.26 153.16 153.06 152.97 152.87 152.77
 152.67 152.58 152.48 152.39 152.29 152.2  152.1  152.01 151.91 151.82
 151.73]",0.0,6
899,3,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2007.238725 2008.14765  2009.055125 2009.96165  2010.867225 2011.77185
 2012.675525 2013.577725 2014.47845  2015.3782   2016.276975 2017.174775
 2018.071075 2018.965875 2019.859675 2020.751975 2021.642775 2022.532075
 2023.419875 2024.306175 2025.19095  2026.0742   2026.95545  2027.834675
 2028.712375 2029.58805  2030.4612   2031.332325 2032.2009   2033.066925
 2033.9304   2034.790825 2035.6482   2036.502525 2037.3538   2038.20205
 2039.047275 2039.88895  2040.727075 2041.56165  2042.392175 2043.21915
 2044.042575 2044.86145  2045.67575  2046.486    2047.292225 2048.0944
 2048.892025 2049.685125 2050.4742  ]","[153.46 153.37 153.29 153.2  153.11 153.03 152.94 152.86 152.78 152.69
 152.61 152.53 152.45 152.36 152.28 152.2  152.12 152.04 151.96 151.88
 151.8  151.72 151.64 151.56 151.48 151.4  151.32 151.24 151.16 151.08
 151.   150.93 150.85 150.77 150.69 150.61 150.53 150.45 150.37 150.29
 150.21 150.13 150.05 149.97 149.89 149.81 149.73 149.65 149.57 149.49
 149.41]",0.0,6
899,52,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2072.9252   2073.6906   2074.458075 2075.227625 2075.99925  2076.77345
 2077.550225 2078.329575 2079.112    2079.898    2080.687575 2081.480225
 2082.27645  2083.07675  2083.880625 2084.688075 2085.4996   2086.315675
 2087.136325 2087.96105  2088.790325 2089.62415  2090.462025 2091.304425
 2092.15135  2093.0023   2093.85725  2094.716225 2095.579225 2096.446225
 2097.317225 2098.192225 2099.0712   2099.954175 2100.841175 2101.732175
 2102.627175 2103.526175 2104.429175 2105.336175 2106.24715  2107.1616
 2108.079025 2108.9994   2109.922725 2110.849    2111.777725 2112.708875
 2113.64245  2114.577975 2115.51545 ]","[146.96 146.89 146.82 146.75 146.68 146.61 146.55 146.48 146.41 146.34
 146.27 146.21 146.14 146.07 146.   145.94 145.87 145.81 145.74 145.68
 145.61 145.55 145.48 145.41 145.35 145.28 145.22 145.15 145.09 145.02
 144.95 144.89 144.82 144.75 144.68 144.61 144.54 144.47 144.4  144.33
 144.25 144.18 144.11 144.03 143.95 143.88 143.8  143.73 143.65 143.57
 143.49]",0.0,6
899,57,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2057.814675 2058.60225  2059.3863   2060.167325 2060.944825 2061.7188
 2062.48925  2063.256175 2064.019575 2064.779475 2065.536375 2066.289775
 2067.039675 2067.786575 2068.530475 2069.2719   2070.010875 2070.7474
 2071.4825   2072.216175 2072.948425 2073.679775 2074.410725 2075.141275
 2075.871425 2076.601675 2077.332525 2078.063975 2078.79605  2079.529225
 2080.263475 2080.998825 2081.735275 2082.473325 2083.212975 2083.954725
 2084.699075 2085.445525 2086.194575 2086.946225 2087.70045  2088.45775
 2089.218125 2089.981575 2090.7481   2091.517675 2092.290325 2093.06605
 2093.845325 2094.62815  2095.414525]","[148.48 148.4  148.32 148.24 148.16 148.09 148.01 147.93 147.85 147.77
 147.7  147.62 147.55 147.47 147.4  147.32 147.25 147.18 147.11 147.03
 146.96 146.89 146.82 146.75 146.68 146.61 146.54 146.48 146.41 146.34
 146.27 146.2  146.14 146.07 146.   145.94 145.87 145.8  145.74 145.67
 145.6  145.54 145.47 145.4  145.33 145.27 145.2  145.13 145.06 145.
 144.93]",0.0,6
899,61,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2033.600075 2034.5057   2035.409775 2036.3123   2037.212775 2038.111725
 2039.00915  2039.904525 2040.79785  2041.689125 2042.57835  2043.465025
 2044.349175 2045.2313   2046.111375 2046.988925 2047.863975 2048.737
 2049.608    2050.4765   2051.342475 2052.206425 2053.068375 2053.9278
 2054.7847   2055.639075 2056.4904   2057.338675 2058.1834   2059.024575
 2059.8622   2060.695775 2061.5258   2062.352275 2063.175225 2063.99465
 2064.81055  2065.62345  2066.43335  2067.23975  2068.04265  2068.84255
 2069.63945  2070.433375 2071.224325 2072.012275 2072.797225 2073.5792
 2074.3587   2075.135725 2075.9103  ]","[150.6  150.51 150.42 150.34 150.25 150.17 150.08 150.   149.91 149.83
 149.75 149.66 149.58 149.49 149.41 149.33 149.24 149.16 149.07 148.99
 148.91 148.82 148.74 148.65 148.57 148.48 148.4  148.32 148.23 148.15
 148.07 147.98 147.9  147.82 147.74 147.65 147.57 147.49 147.41 147.32
 147.24 147.16 147.08 147.   146.92 146.84 146.76 146.68 146.6  146.52
 146.44]",0.0,6
899,69,[0.  0.1 0.2 0.3 0.4],[2106.99135  2107.674925 2108.343475 2108.9965   2109.64175 ],[143.48 143.43 143.39 143.35 143.31],0.0,6
899,145,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1964.108575 1964.8755   1965.645575 1966.4193   1967.19665  1967.9776
 1968.76215  1969.5503   1970.34255  1971.138875 1971.939275 1972.74325
 1973.550775 1974.36235  1975.177975 1975.997625 1976.8208   1977.647525
 1978.478275 1979.31305  1980.15185  1980.99465  1981.84095  1982.69075
 1983.54405  1984.40085  1985.261125 1986.124375 1986.9906   1987.859775
 1988.7314   1989.604975 1990.481    1991.359475 1992.2399   1993.122275
 1994.0066   1994.892875 1995.7811   1996.670775 1997.5614   1998.45295
 1999.345425 2000.23885  2001.1332   2002.028475 2002.9242   2003.820375
 2004.717    2005.614075 2006.5116  ]","[157.81 157.74 157.67 157.6  157.53 157.46 157.39 157.32 157.24 157.17
 157.09 157.02 156.94 156.87 156.79 156.71 156.63 156.55 156.46 156.38
 156.3  156.21 156.12 156.03 155.94 155.85 155.76 155.67 155.58 155.48
 155.39 155.3  155.21 155.11 155.02 154.93 154.84 154.75 154.65 154.56
 154.47 154.38 154.29 154.2  154.11 154.02 153.93 153.84 153.75 153.66
 153.57]",0.0,6
899,537,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1916.413475 1917.408875 1918.3947   1919.37095  1920.338125 1921.295775
 1922.2439   1923.183    1924.1136   1925.0357   1925.949325 1926.8545
 1927.7512   1928.640425 1929.5222   1930.39655  1931.264    1932.124525
 1932.978625 1933.82735  1934.6707   1935.508675 1936.3423   1937.171575
 1937.996475 1938.8175   1939.63465  1940.448425 1941.258825 1942.06585
 1942.87     1943.67125  1944.470125 1945.267125 1946.06225  1946.8555
 1947.647375 1948.4384   1949.22855  1950.018325 1950.808225 1951.59825
 1952.3884   1953.17865  1953.969025 1954.760025 1955.552125 1956.345325
 1957.139625 1957.935025 1958.732025]","[160.82 160.76 160.7  160.65 160.59 160.54 160.48 160.43 160.37 160.32
 160.26 160.21 160.15 160.1  160.04 159.98 159.93 159.87 159.82 159.76
 159.7  159.64 159.59 159.53 159.47 159.41 159.36 159.3  159.24 159.18
 159.13 159.07 159.01 158.95 158.89 158.83 158.77 158.71 158.65 158.59
 158.53 158.47 158.41 158.34 158.28 158.22 158.15 158.09 158.02 157.95
 157.89]",0.0,6
899,540,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1936.275825 1937.121825 1937.961925 1938.79665  1939.626025 1940.45005
 1941.269725 1942.08555  1942.897525 1943.70615  1944.511925 1945.31485
 1946.11545  1946.914225 1947.71115  1948.506225 1949.29995  1950.092825
 1950.88485  1951.676    1952.466775 1953.2577   1954.048775 1954.840475
 1955.6328   1956.425775 1957.219875 1958.015075 1958.8119   1959.61035
 1960.4104   1961.212025 1962.015225 1962.820525 1963.6279   1964.43735
 1965.2489   1966.063025 1966.879725 1967.699    1968.52135  1969.346775
 1970.175275 1971.00685  1971.8415   1972.679725 1973.5215   1974.36685
 1975.216275 1976.06975  1976.926775]","[159.61 159.55 159.49 159.43 159.37 159.3  159.24 159.18 159.12 159.06
 159.   158.94 158.87 158.81 158.75 158.69 158.63 158.56 158.5  158.44
 158.38 158.31 158.25 158.19 158.12 158.06 157.99 157.93 157.87 157.8
 157.74 157.67 157.6  157.54 157.47 157.4  157.33 157.27 157.2  157.13
 157.05 156.98 156.91 156.84 156.76 156.69 156.62 156.54 156.46 156.39
 156.31]",0.0,6
899,732,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1884.005725 1885.121325 1886.236425 1887.350525 1888.463625 1889.5757
 1890.68675  1891.796275 1892.904275 1894.01075  1895.115175 1896.21755
 1897.317875 1898.415625 1899.510275 1900.601825 1901.689775 1902.773625
 1903.853375 1904.9285   1905.9985   1907.063375 1908.123125 1909.17775
 1910.22675  1911.26965  1912.30645  1913.337125 1914.361175 1915.378625
 1916.389475 1917.393225 1918.3899   1919.3795   1920.3615   1921.335925
 1922.303275 1923.26305  1924.21475  1925.158875 1926.09545  1927.023975
 1927.94445  1928.857375 1929.762775 1930.660675 1931.551575 1932.435475
 1933.3124   1934.182875 1935.0474  ]","[162.   161.96 161.92 161.89 161.85 161.81 161.77 161.73 161.68 161.64
 161.6  161.55 161.51 161.46 161.41 161.36 161.32 161.27 161.22 161.16
 161.11 161.06 161.01 160.96 160.9  160.85 160.8  160.74 160.69 160.64
 160.58 160.53 160.47 160.42 160.37 160.31 160.26 160.2  160.15 160.09
 160.03 159.98 159.92 159.86 159.81 159.75 159.69 159.63 159.57 159.51
 159.45]",0.0,6
