Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
2698,899,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8]","[2612.53785  2613.983025 2615.406525 2616.80885  2618.19     2619.54945
 2620.8872   2622.20275  2623.4961   2624.767225 2626.0156   2627.241225
 2628.4441   2629.623725 2630.7801   2631.913225 2633.0226   2634.108225
 2635.181975]","[109.7  109.76 109.82 109.88 109.94 109.99 110.05 110.1  110.15 110.21
 110.25 110.3  110.35 110.39 110.43 110.47 110.51 110.54 110.57]",0.0,6
2698,942,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2542.261375 2543.963625 2545.66895  2547.377325 2549.08825  2550.8012
 2552.515625 2554.231    2555.947325 2557.664075 2559.38075  2561.09735
 2562.813875 2564.530325 2566.2467   2567.963025 2569.678775 2571.393425
 2573.107    2574.8195   2576.530425 2578.239775 2579.947525 2581.6532
 2583.3573   2585.059825 2586.760825 2588.46085  2590.160425 2591.86055
 2593.56125  2595.262525 2596.9654   2598.670425 2600.37865  2602.091625
 2603.80985  2605.53385  2607.26465  2609.00325  2610.7512   2612.510575
 2614.28345  2616.0719   2617.8785   2619.7053   2621.553825 2623.42505
 2625.3194   2627.23735  2629.17935 ]","[108.68 108.64 108.61 108.58 108.54 108.52 108.49 108.47 108.45 108.43
 108.42 108.41 108.4  108.4  108.39 108.39 108.4  108.4  108.41 108.43
 108.44 108.46 108.48 108.51 108.54 108.57 108.6  108.64 108.68 108.72
 108.77 108.82 108.87 108.92 108.98 109.04 109.1  109.16 109.23 109.29
 109.36 109.43 109.5  109.56 109.63 109.7  109.77 109.84 109.91 109.99
 110.06]",0.0,6
2698,972,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2436.150225 2437.635175 2439.123125 2440.614075 2442.1075   2443.6034
 2445.101775 2446.602125 2448.10445  2449.608725 2451.11495  2452.622625
 2454.13175  2455.642325 2457.15435  2458.667825 2460.182275 2461.6977
 2463.214575 2464.7329   2466.252175 2467.772425 2469.29365  2470.81585
 2472.339025 2473.863175 2475.388825 2476.916    2478.4447   2479.975425
 2481.508725 2483.045625 2484.58665  2486.13285  2487.685275 2489.244425
 2490.8108   2492.384925 2493.967825 2495.56     2497.16195  2498.774675
 2500.398675 2502.034475 2503.68255  2505.34285  2507.014825 2508.69845
 2510.3937   2512.10005  2513.8175  ]","[115.91 115.77 115.63 115.49 115.35 115.21 115.07 114.93 114.8  114.66
 114.52 114.38 114.24 114.1  113.97 113.83 113.69 113.56 113.42 113.29
 113.15 113.02 112.89 112.76 112.63 112.5  112.38 112.25 112.13 112.01
 111.88 111.76 111.64 111.53 111.41 111.29 111.17 111.06 110.94 110.83
 110.72 110.6  110.49 110.38 110.27 110.16 110.06 109.95 109.85 109.75
 109.65]",0.0,6
2698,1008,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2091.695875 2092.947925 2094.20445  2095.46545  2096.73145  2098.002425
 2099.277875 2100.557825 2101.842775 2103.1322   2104.4261   2105.724475
 2107.0268   2108.3331   2109.643375 2110.9576   2112.275775 2113.597925
 2114.924075 2116.254225 2117.588875 2118.92855  2120.273275 2121.62305
 2122.978375 2124.33925  2125.7057   2127.078725 2128.458325 2129.844
 2131.236225 2132.635    2134.039825 2135.4512   2136.869125 2138.293075
 2139.72355  2141.1611   2142.606225 2144.058925 2145.519225 2146.9876
 2148.46405  2149.948575 2151.44115  2152.941775 2154.450425 2155.966575
 2157.489725 2159.01985  2160.55695 ]","[145.32 145.2  145.09 144.98 144.87 144.76 144.65 144.54 144.43 144.32
 144.21 144.1  144.   143.89 143.78 143.67 143.56 143.46 143.35 143.24
 143.13 143.02 142.92 142.81 142.7  142.59 142.48 142.37 142.26 142.14
 142.03 141.92 141.8  141.69 141.57 141.46 141.34 141.23 141.11 141.
 140.88 140.76 140.65 140.53 140.42 140.3  140.18 140.06 139.94 139.81
 139.69]",0.0,6
2698,1046,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2391.192425 2392.814675 2394.4409   2396.071075 2397.7047   2399.34125
 2400.980725 2402.622625 2404.2664   2405.91205  2407.5591   2409.20755
 2410.8574   2412.508175 2414.159875 2415.812475 2417.466    2419.12045
 2420.775825 2422.43215  2424.089425 2425.74765  2427.406325 2429.065475
 2430.7256   2432.3867   2434.048775 2435.711825 2437.375875 2439.04095
 2440.707025 2442.374075 2444.042125 2445.711175 2447.381225 2449.052275
 2450.724325 2452.397875 2454.07345  2455.7511   2457.43135  2459.115225
 2460.80375  2462.49745  2464.19685  2465.901925 2467.61265  2469.329525
 2471.052025 2472.7801   2474.51375 ]","[119.92 119.77 119.61 119.45 119.3  119.14 118.98 118.83 118.67 118.52
 118.36 118.2  118.05 117.89 117.74 117.59 117.43 117.28 117.12 116.97
 116.82 116.66 116.51 116.36 116.21 116.06 115.91 115.76 115.61 115.46
 115.31 115.16 115.01 114.86 114.72 114.57 114.42 114.27 114.13 113.98
 113.83 113.68 113.53 113.38 113.23 113.08 112.93 112.78 112.63 112.48
 112.33]",0.0,6
2698,1062,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2325.984175 2327.536025 2329.0919   2330.6518   2332.2157   2333.7836
 2335.355    2336.929375 2338.5072   2340.0885   2341.672775 2343.26
 2344.8497   2346.441875 2348.037025 2349.63515  2351.23625  2352.840325
 2354.446875 2356.0559   2357.6679   2359.282375 2360.899325 2362.51875
 2364.14065  2365.76555  2367.392925 2369.022775 2370.655125 2372.289975
 2373.9273   2375.5666   2377.207875 2378.8511   2380.496275 2382.143425
 2383.79255  2385.44365  2387.096775 2388.75245  2390.411675 2392.074975
 2393.742875 2395.4159   2397.09405  2398.777325 2400.465725 2402.1592
 2403.85825  2405.562875 2407.27255 ]","[125.63 125.49 125.34 125.2  125.06 124.92 124.77 124.63 124.49 124.34
 124.2  124.05 123.91 123.76 123.62 123.47 123.33 123.18 123.04 122.89
 122.75 122.6  122.46 122.31 122.17 122.03 121.89 121.74 121.6  121.46
 121.32 121.18 121.04 120.9  120.76 120.62 120.47 120.33 120.19 120.05
 119.9  119.76 119.61 119.46 119.31 119.16 119.01 118.85 118.69 118.54
 118.38]",0.0,6
2698,1387,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2475.498275 2477.0107   2478.527175 2480.0472   2481.570775 2483.097875
 2484.62795  2486.160475 2487.69495  2489.231375 2490.769225 2492.3085
 2493.8492   2495.391325 2496.9349   2498.479425 2500.024875 2501.57125
 2503.118075 2504.665325 2506.213    2507.761125 2509.3097   2510.85875
 2512.408775 2513.959775 2515.5118   2517.065375 2518.621    2520.1792
 2521.740475 2523.304825 2524.872275 2526.442825 2528.017475 2529.59725
 2531.1822   2532.77335  2534.37225  2535.97995  2537.598    2539.22795
 2540.87135  2542.529725 2544.204075 2545.8949   2547.60265  2549.327275
 2551.068725 2552.82695  2554.601925]","[112.3  112.18 112.07 111.95 111.84 111.72 111.61 111.5  111.39 111.28
 111.18 111.07 110.97 110.86 110.76 110.66 110.56 110.46 110.37 110.27
 110.18 110.09 110.   109.91 109.83 109.74 109.66 109.58 109.51 109.43
 109.36 109.29 109.22 109.15 109.08 109.02 108.96 108.9  108.84 108.78
 108.72 108.67 108.61 108.56 108.5  108.45 108.4  108.35 108.3  108.25
 108.2 ]",0.0,6
2698,1836,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2125.9214   2127.29165  2128.667875 2130.05005  2131.4382   2132.832325
 2134.2319   2135.636425 2137.0464   2138.461325 2139.880675 2141.30445
 2142.73265  2144.16475  2145.60025  2147.039675 2148.482525 2149.9288
 2151.3785   2152.831625 2154.288225 2155.7483   2157.21235  2158.6804
 2160.15295  2161.630025 2163.111125 2164.596225 2166.085825 2167.579925
 2169.078025 2170.580125 2172.086225 2173.5963   2175.11035  2176.628375
 2178.149875 2179.674875 2181.20385  2182.7368   2184.27375  2185.814725
 2187.359725 2188.908725 2190.46225  2192.0203   2193.58235  2195.1484
 2196.718975 2198.294075 2199.8737  ]","[142.53 142.42 142.3  142.19 142.08 141.96 141.85 141.73 141.61 141.49
 141.37 141.25 141.13 141.01 140.89 140.77 140.65 140.53 140.41 140.29
 140.16 140.04 139.92 139.79 139.67 139.54 139.42 139.29 139.16 139.03
 138.9  138.77 138.64 138.51 138.38 138.25 138.12 137.99 137.86 137.73
 137.6  137.47 137.35 137.22 137.09 136.96 136.84 136.71 136.58 136.45
 136.32]",0.0,6
2698,1983,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2354.0103   2355.561725 2357.1202   2358.685725 2360.2583   2361.8374
 2363.423025 2365.015175 2366.6133   2368.2174   2369.8275   2371.443575
 2373.065125 2374.69215  2376.324625 2377.962575 2379.606    2381.254375
 2382.9077   2384.565975 2386.2292   2387.8969   2389.569075 2391.246225
 2392.92835  2394.615975 2396.309125 2398.007775 2399.71245  2401.423175
 2403.139425 2404.861175 2406.588425 2408.321175 2410.0594   2411.8026
 2413.550775 2415.303925 2417.062575 2418.82675  2420.596975 2422.374275
 2424.158675 2425.950175 2427.749275 2429.556475 2431.37175  2433.1946
 2435.025025 2436.8635   2438.709525]","[123.42 123.28 123.14 123.   122.86 122.72 122.58 122.44 122.3  122.15
 122.01 121.86 121.72 121.57 121.43 121.28 121.13 120.98 120.83 120.68
 120.53 120.38 120.23 120.07 119.92 119.77 119.61 119.46 119.3  119.15
 118.99 118.84 118.68 118.52 118.36 118.2  118.04 117.88 117.72 117.56
 117.39 117.23 117.06 116.89 116.72 116.55 116.37 116.2  116.02 115.85
 115.67]",0.0,6
2698,2015,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2590.22515  2591.85805  2593.4911   2595.12425  2596.7575   2598.3898
 2600.020075 2601.647775 2603.272375 2604.89285  2606.50815  2608.1188
 2609.724825 2611.32575  2612.922625 2614.516475 2616.107375 2617.696375
 2619.285025 2620.874375 2622.465975 2624.0614   2625.661675 2627.2678
 2628.8803   2630.500175 2632.128425 2633.76505  2635.411025 2637.06735
 2638.734025 2640.41155  2642.100925 2643.803675 2645.5208   2647.2523
 2648.9992   2650.763    2652.54475  2654.345975 2656.1687   2658.0145
 2659.8849   2661.781925 2663.7071   2665.6614   2667.6453   2669.659225
 2671.702575 2673.7748   2675.8753  ]","[108.72 108.76 108.79 108.83 108.87 108.92 108.97 109.02 109.07 109.13
 109.2  109.26 109.33 109.41 109.48 109.56 109.63 109.71 109.79 109.87
 109.96 110.04 110.13 110.22 110.31 110.4  110.5  110.6  110.7  110.8
 110.91 111.01 111.12 111.23 111.35 111.46 111.58 111.7  111.82 111.95
 112.07 112.2  112.32 112.45 112.57 112.7  112.82 112.95 113.08 113.21
 113.34]",0.0,6
